id,Review Title,sentiment_category
0,"A challenging watch to be sure, but a worthwhile one.",positive
1,Murphy is exceptional,neutral
2,Quality but exhausting,negative
3,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
4,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
5,"Nolan touches greatness, falls slightly short",neutral
6,Oppen-bore-mer,neutral
7,And the Oscar goes to...,neutral
8,Is it just me ?,neutral
9,A Masterpiece,positive
10,"Breaks all filmmaklng rules, but not in a good way",negative
11,Another Cinematic Masterpiece by Christopher Nolan,positive
12,Too loud and too long,neutral
13,Disappointing,negative
14,Overlong and Overcomplicated,neutral
15,Exceptional storytelling and Genius Cinametography,neutral
16,Technically superb but...,positive
17,This movie is the bomb!,positive
18,"Murphy is Amazing, But Downey Jr Steals The Show",negative
19,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
20,this is a great film but lacks pace and drama,positive
21,This just might be as interesting as this topic can get,positive
22,Stunning - put it in a time capsule,positive
23,"Half an Hour too long, misses the point",negative
24,"Bloated, talky, unnecessarily complicated.",neutral
25,"A challenging watch to be sure, but a worthwhile one.",positive
26,Murphy is exceptional,neutral
27,Quality but exhausting,negative
28,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
29,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
30,"Nolan touches greatness, falls slightly short",neutral
31,Oppen-bore-mer,neutral
32,And the Oscar goes to...,neutral
33,Is it just me ?,neutral
34,A Masterpiece,positive
35,"Breaks all filmmaklng rules, but not in a good way",negative
36,Another Cinematic Masterpiece by Christopher Nolan,positive
37,Too loud and too long,neutral
38,Disappointing,negative
39,Overlong and Overcomplicated,neutral
40,Exceptional storytelling and Genius Cinametography,neutral
41,Technically superb but...,positive
42,This movie is the bomb!,positive
43,"Murphy is Amazing, But Downey Jr Steals The Show",negative
44,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
45,this is a great film but lacks pace and drama,positive
46,This just might be as interesting as this topic can get,positive
47,Stunning - put it in a time capsule,positive
48,"Half an Hour too long, misses the point",negative
49,"Bloated, talky, unnecessarily complicated.",neutral
50,"A challenging watch to be sure, but a worthwhile one.",positive
51,Murphy is exceptional,neutral
52,Quality but exhausting,negative
53,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,positive
54,Nolan delivers a powerfull biopic that shows the dark side of human nature!,neutral
55,"Nolan touches greatness, falls slightly short",neutral
56,Oppen-bore-mer,neutral
57,And the Oscar goes to...,neutral
58,Is it just me ?,neutral
59,A Masterpiece,positive
60,"Breaks all filmmaklng rules, but not in a good way",negative
61,Another Cinematic Masterpiece by Christopher Nolan,positive
62,Too loud and too long,neutral
63,Disappointing,negative
64,Overlong and Overcomplicated,neutral
65,Exceptional storytelling and Genius Cinametography,neutral
66,Technically superb but...,positive
67,This movie is the bomb!,positive
68,"Murphy is Amazing, But Downey Jr Steals The Show",negative
69,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,positive
70,this is a great film but lacks pace and drama,positive
